4.14	2.51303	2.92711	2.5218
4.16	2.51546	2.9383	2.52435
4.18	2.51788	2.94963	2.5269
4.2	2.52031	2.9611	2.52945
4.22	2.52273	2.97272	2.53199
4.24	2.52515	2.98447	2.53454
4.26	2.52757	2.99637	2.53709
4.28	2.52999	3.00842	2.53963
4.3	2.53241	3.02062	2.54218
4.32	2.53483	3.03296	2.54472
4.34	2.53724	3.04546	2.54726
4.36	2.53965	3.0581	2.5498
4.38	2.54206	3.0709	2.55234
4.4	2.54447	3.08386	2.55489
4.42	2.54688	3.09698	2.55742
4.44	2.54929	3.11025	2.55996
4.46	2.55169	3.12369	2.5625
4.48	2.5541	3.13728	2.56504
4.5	2.5565	3.15104	2.56758
4.52	2.5589	3.16497	2.57011
4.54	2.5613	3.17906	2.57265
4.56	2.56369	3.19332	2.57518
4.58	2.56609	3.20775	2.57772
4.6	2.56848	3.22236	2.58025
4.62	2.57087	3.23713	2.58278
4.64	2.57326	3.25209	2.58531
4.66	2.57565	3.26722	2.58784
4.68	2.57804	3.28253	2.59038
4.7	2.58043	3.29802	2.5929
4.72	2.58281	3.31369	2.59543
4.74	2.58519	3.32955	2.59796
4.76	2.58757	3.34559	2.60049
4.78	2.58995	3.36182	2.60301
4.8	2.59233	3.37824	2.60554
4.82	2.5947	3.39485	2.60806
4.84	2.59708	3.41165	2.61059
4.86	2.59945	3.42865	2.61311
4.88	2.60182	3.44585	2.61563
4.9	2.60419	3.46324	2.61815
4.92	2.60656	3.48083	2.62067
4.94	2.60892	3.49863	2.62319
4.96	2.61129	3.51663	2.62571
4.98	2.61365	3.53483	2.62823
5	2.61601	3.55324	2.63075
5.02	2.61837	3.57187	2.63326
5.04	2.62073	3.5907	2.63578
5.06	2.62309	3.60974	2.6383
5.08	2.62544	3.62901	2.64081
5.1	2.62779	3.64848	2.64332
5.12	2.63014	3.66818	2.64583
5.14	2.63249	3.6881	2.64835
5.16	2.63484	3.70824	2.65086
5.18	2.63719	3.7286	2.65337
5.2	2.63953	3.7492	2.65588
5.22	2.64188	3.77001	2.65838
5.24	2.64422	3.79107	2.66089
5.26	2.64656	3.81235	2.6634
5.28	2.64889	3.83386	2.6659
5.3	2.65123	3.85562	2.66841
5.32	2.65357	3.87761	2.67091
5.34	2.6559	3.89984	2.67341
5.36	2.65823	3.92232	2.67592
5.38	2.66056	3.94503	2.67842
5.4	2.66289	3.968	2.68092
5.42	2.66521	3.99121	2.68342
5.44	2.66754	4.01468	2.68592
5.46	2.66986	4.03839	2.68841
5.48	2.67218	4.06236	2.69091
5.5	2.6745	4.08659	2.69341
5.52	2.67682	4.11108	2.6959
5.54	2.67914	4.13583	2.6984
5.56	2.68145	4.16083	2.70089
5.58	2.68377	4.18611	2.70338
5.6	2.68608	4.21165	2.70587
5.62	2.68839	4.23746	2.70836
5.64	2.6907	4.26354	2.71085
5.66	2.69301	4.2899	2.71334
5.68	2.69531	4.31653	2.71583
5.7	2.69761	4.34344	2.71832
5.72	2.69992	4.37063	2.7208
5.74	2.70222	4.3981	2.72329
5.76	2.70451	4.42586	2.72577
5.78	2.70681	4.4539	2.72826
5.8	2.70911	4.48223	2.73074
5.82	2.7114	4.51085	2.73322
5.84	2.71369	4.53976	2.7357
5.86	2.71598	4.56897	2.73818
5.88	2.71827	4.59848	2.74066
5.9	2.72056	4.62829	2.74314
5.92	2.72285	4.65839	2.74562
5.94	2.72513	4.68881	2.74809
5.96	2.72741	4.71953	2.75057
5.98	2.72969	4.75055	2.75304
6	2.73197	4.78189	2.75552
6.02	2.73425	4.81355	2.75799
6.04	2.73652	4.84551	2.76046
6.06	2.7388	4.8778	2.76293
6.08	2.74107	4.9104	2.7654
6.1	2.74334	4.94333	2.76787
6.12	2.74561	4.97659	2.77034
6.14	2.74788	5.01017	2.77281
6.16	2.75014	5.04408	2.77527
6.18	2.75241	5.07832	2.77774
6.2	2.75467	5.1129	2.7802
6.22	2.75693	5.14781	2.78267
6.24	2.75919	5.18306	2.78513
6.26	2.76145	5.21865	2.78759
6.28	2.76371	5.25459	2.79005
6.3	2.76596	5.29087	2.79251
6.32	2.76821	5.32751	2.79497
6.34	2.77047	5.36449	2.79743
6.36	2.77272	5.40183	2.79989
6.38	2.77496	5.43952	2.80234
6.4	2.77721	5.47757	2.8048
6.42	2.77946	5.51598	2.80725
6.44	2.7817	5.55476	2.80971
6.46	2.78394	5.5939	2.81216
6.48	2.78618	5.63341	2.81461
6.5	2.78842	5.67329	2.81706
6.52	2.79066	5.71354	2.81951
